ID,class,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-crporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
137,republican,0,2,0,2,2,2,0,0,0,2,2,2,2,0,0,2
82,democrat,2,0,2,0,0,0,2,2,1,2,2,2,0,2,0,2
125,democrat,0,1,2,0,0,0,2,2,2,0,0,0,0,0,2,2
317,democrat,0,0,0,0,0,2,0,2,2,0,2,2,2,2,2,0
56,republican,0,2,0,2,2,2,0,0,0,2,2,2,2,2,0,0
371,democrat,2,2,2,0,1,2,2,2,0,2,1,1,0,0,2,2
430,democrat,2,0,2,0,1,0,2,2,2,2,0,2,0,1,2,2
168,republican,2,0,2,2,2,2,2,2,0,2,2,2,0,2,2,2
248,republican,0,2,0,2,2,2,1,0,0,0,0,1,2,2,0,0
411,republican,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,2
52,republican,0,2,0,2,2,2,0,1,0,0,0,2,2,2,0,2
150,democrat,0,0,2,0,0,0,2,2,2,2,0,0,2,0,2,2
397,democrat,2,2,2,0,2,2,0,2,0,0,2,0,2,0,2,2
203,democrat,2,0,2,0,0,2,2,2,2,2,2,0,0,0,2,2
231,republican,0,2,0,2,2,2,0,0,0,0,0,2,2,2,0,2
103,democrat,2,0,2,0,2,2,2,0,1,0,2,0,2,2,2,1
121,republican,0,1,1,2,2,2,0,0,0,2,0,2,2,2,1,2
305,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,1
10,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,1,1
115,democrat,2,1,2,0,0,0,2,2,2,0,0,0,0,0,2,1
364,republican,2,2,0,2,2,2,0,0,0,2,2,0,2,0,0,0
213,democrat,0,0,2,0,0,0,2,2,2,0,2,0,0,0,2,2
223,democrat,2,0,2,0,0,0,2,2,2,0,2,0,0,0,2,1
268,republican,2,0,0,0,0,0,2,2,2,2,0,0,0,2,0,2
189,republican,2,1,0,2,2,2,2,2,0,0,0,2,1,2,1,1
141,republican,0,0,0,2,0,0,2,2,2,2,0,0,2,2,0,2
250,democrat,2,0,2,0,0,0,2,2,1,0,2,0,0,0,2,2
219,democrat,2,1,2,0,0,0,2,2,2,0,1,0,0,0,2,1
341,republican,0,0,0,2,2,2,0,0,0,2,2,2,0,2,0,2
97,democrat,0,0,1,0,2,2,0,0,0,0,2,2,2,2,0,2
315,republican,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2
355,democrat,0,2,2,0,0,2,2,2,2,2,0,1,0,0,2,2
331,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,0
227,democrat,0,0,2,0,0,2,2,2,2,0,2,0,0,2,2,2
30,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,2,2
241,republican,0,0,0,2,0,2,2,1,2,0,0,2,2,2,0,2
419,democrat,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0,2
69,democrat,2,1,2,0,0,0,2,2,2,0,0,0,2,0,2,2
324,democrat,2,2,2,0,2,2,0,2,1,2,0,0,2,2,0,1
417,republican,2,2,0,2,2,2,0,0,0,2,0,0,2,2,0,2
429,democrat,1,1,1,0,0,0,2,2,2,2,0,0,2,0,2,2
54,republican,2,2,0,2,2,2,0,0,0,2,0,2,2,2,0,0
396,democrat,2,2,2,1,0,0,0,2,0,0,2,1,0,0,2,2
280,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,0,0
38,republican,2,2,0,2,2,2,0,0,0,0,0,0,2,2,0,2
25,democrat,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,1
410,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0
409,democrat,2,0,2,0,0,2,2,2,2,0,0,2,1,2,2,2
134,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2
